Test started at 2026-07-29 06:35:07.374309

Running at a PLC of 1
DMM2 at voltage range of 0.1V from here -
diff1, diff2, diff3, r11, r12, r21, r22, r31, r32
1.3875873999999967e-07 , 1.6181870000000037e-08 , 2.7329706199999996e-05 , 2.78187047e-06 , 2.64311173e-06 , -3.14806726e-06 , -3.16424913e-06 , 6.53133656e-05 , 3.79836594e-05
-2.8167333000000023e-07 , -2.683878700000001e-07 , -2.01498681e-05 , 2.38498813e-06 , 2.66666146e-06 , -3.19499468e-06 , -2.92660681e-06 , 4.51634975e-05 , 6.53133656e-05
-2.031742000000013e-08 , 3.821233100000002e-07 , -0.0001361853154 , 2.44824919e-06 , 2.46856661e-06 , -2.9684485e-06 , -3.35057181e-06 , -7.2956419e-05 , 6.32288964e-05
-5.638084299999999e-07 , 7.304959000000008e-08 , -1.5054499100000005e-05 , 2.78071607e-06 , 3.3445245e-06 , -3.25070655e-06 , -3.32375614e-06 , 5.04904741e-05 , 6.55449732e-05
-7.953808499999998e-07 , -3.2040102999999964e-07 , -3.4972759500000004e-05 , 2.39376156e-06 , 3.18914241e-06 , -3.29994567e-06 , -2.97954464e-06 , 2.03814758e-05 , 5.53542353e-05
-3.7864280000000116e-08 , 3.0005810999999976e-07 , -1.0190737859999999e-05 , 2.75808986e-06 , 2.79595414e-06 , -2.92637564e-06 , -3.22643375e-06 , -1.52861068e-05 , -5.09536894e-06
-1.426837099999999e-07 , 6.673865600000001e-07 , 8.31471569e-05 , 2.8363581e-06 , 2.97904181e-06 , -2.86187933e-06 , -3.52926589e-06 , 4.2615813e-05 , -4.05313439e-05
4.109660100000001e-07 , -2.7093073999999994e-07 , -1.7370576000000004e-05 , 2.92617034e-06 , 2.51520433e-06 , -3.48488133e-06 , -3.21395059e-06 , -3.49727596e-05 , -1.76021836e-05
-8.6626093e-07 , 4.184169e-08 , -2.24659449e-05 , 2.23191484e-06 , 3.09817577e-06 , -2.7694115e-06 , -2.81125319e-06 , -5.28065509e-05 , -3.0340606e-05
-1.1497812999999982e-07 , 3.698710000000257e-09 , 2.01498681e-05 , 2.64034117e-06 , 2.7553193e-06 , -3.18228036e-06 , -3.18597907e-06 , 3.54359749e-05 , 1.52861068e-05
2.4265464999999984e-07 , 1.176653099999999e-07 , -1.7602183621e-05 , 2.93101881e-06 , 2.68836416e-06 , -3.15823872e-06 , -3.27590403e-06 , -1.78337913e-05 , -2.31607679e-07
-3.7425612e-07 , 2.961282200000003e-07 , -3.5435974900000004e-05 , 2.87283711e-06 , 3.24709323e-06 , -3.23544936e-06 , -3.53157758e-06 , -1.01907379e-05 , 2.5245237e-05
2.2672395000000015e-07 , 4.974769300000003e-07 , -4.7711181999999996e-05 , 2.84028306e-06 , 2.61355911e-06 , -2.89100669e-06 , -3.38848362e-06 , -1.50544992e-05 , 3.26566828e-05
-1.304470699999999e-07 , 3.520712599999999e-07 , 5.76703122e-05 , 3.06123501e-06 , 3.19168208e-06 , -3.09859697e-06 , -3.45066823e-06 , -1.297003e-05 , -7.06403422e-05
-2.3757529e-07 , -5.735317100000001e-07 , 2.0844691000000003e-06 , 2.49511779e-06 , 2.73269308e-06 , -3.43934092e-06 , -2.86580921e-06 , -2.03814758e-05 , -2.24659449e-05
1.579217700000002e-07 , 1.1396660000000006e-07 , -2.75613139e-05 , 2.98412116e-06 , 2.82619939e-06 , -3.11385416e-06 , -3.22782076e-06 , -1.27384224e-05 , 1.48228915e-05
-6.441545999999993e-08 , -4.898483199999999e-07 , -2.4782021699999993e-05 , 3.07924363e-06 , 3.14365909e-06 , -3.25925982e-06 , -2.7694115e-06 , 3.79836594e-05 , 6.27656811e-05
4.6545364e-07 , 3.432868200000002e-07 , 0.0001109400784 , 3.36484192e-06 , 2.89938828e-06 , -2.91250546e-06 , -3.25579228e-06 , 9.07902103e-05 , -2.01498681e-05
9.858567000000011e-08 , -7.859765000000013e-08 , 2.5476845000000003e-06 , 2.94764216e-06 , 2.84905649e-06 , -3.08726966e-06 , -3.00867201e-06 , -1.52861068e-05 , -1.78337913e-05
2.7797925999999986e-07 , 9.385484999999997e-08 , 7.064034215e-05 , 2.861524e-06 , 2.58354474e-06 , -2.72387109e-06 , -2.81772594e-06 , 6.786105e-05 , -2.77929215e-06
-1.8054799000000003e-07 , 2.9358529999999796e-08 , -6.02179966e-05 , 3.02221632e-06 , 3.20276431e-06 , -3.07825405e-06 , -3.10761258e-06 , -4.02997362e-05 , 1.99182604e-05
4.6868599999999946e-08 , 4.1148184e-07 , -5.0722081699999996e-05 , 2.92224538e-06 , 2.87537678e-06 , -3.12518147e-06 , -3.53666331e-06 , 4.74795743e-05 , 9.8201656e-05
-2.9829668e-07 , 1.8377981000000007e-07 , -0.0001662943141 , 3.06769964e-06 , 3.36599632e-06 , -2.72132823e-06 , -2.90510804e-06 , -2.01498681e-05 , 0.000146144446
-3.3893152000000025e-07 , -3.2779846e-07 , 0.0001236785007 , 3.14850756e-06 , 3.48743908e-06 , -3.07848522e-06 , -2.75068676e-06 , 8.82425258e-05 , -3.54359749e-05
8.842695e-08 , 1.918707999999989e-08 , 7.06403422e-05 , 3.24593883e-06 , 3.15751188e-06 , -2.83136494e-06 , -2.85055202e-06 , 6.02179966e-05 , -1.04223456e-05
5.995947899999997e-07 , 5.964175000000028e-08 , 7.52724957e-05 , 2.9414084e-06 , 2.34181361e-06 , -3.31751456e-06 , -3.37715631e-06 , 3.7520444e-05 , -3.77520517e-05
-2.530442399999999e-07 , -7.508387699999999e-07 , -5.2574943189999995e-05 , 2.86775775e-06 , 3.12080199e-06 , -3.32537432e-06 , -2.57453555e-06 , -4.79427896e-05 , 4.63215359e-06
1.2375156000000003e-07 , -2.8988665000000003e-07 , -9.72752257e-06 , 2.96911397e-06 , 2.84536241e-06 , -3.36444198e-06 , -3.07455533e-06 , -1.27384224e-05 , -3.01089983e-06
-5.171707000000016e-08 , 3.3288418999999985e-07 , 4.0299736149999996e-05 , 2.84513153e-06 , 2.8968486e-06 , -2.86072348e-06 , -3.19360767e-06 , -2.77929215e-06 , -4.30790283e-05
-1.4799394000000015e-07 , -6.588332999999996e-08 , -0.0001308583388 , 3.41401931e-06 , 3.56201325e-06 , -3.27336117e-06 , -3.20747784e-06 , -3.54359749e-05 , 9.54223639e-05
1.6946576000000013e-07 , -5.998850399999999e-07 , 0.00017880112840000002 , 2.93609817e-06 , 2.76663241e-06 , -3.74286657e-06 , -3.14298153e-06 , 8.54632337e-05 , -9.33378947e-05
5.448762999999988e-08 , -1.0032759000000004e-07 , -5.767031213999999e-05 , 2.95133623e-06 , 2.8968486e-06 , -3.36467315e-06 , -3.26434556e-06 , 4.86376126e-06 , 6.25340734e-05
-1.1520901000000005e-07 , 4.0107921000000003e-07 , 1.48228915e-05 , 2.79964822e-06 , 2.91485723e-06 , -3.07085662e-06 , -3.47193583e-06 , 3.26566828e-05 , 1.78337913e-05
1.1128405999999988e-07 , 3.846661699999998e-07 , 5.095368899999999e-06 , 3.07139372e-06 , 2.96010966e-06 , -2.87598067e-06 , -3.26064684e-06 , 1.73705759e-05 , 1.2275207e-05
1.669260800000002e-07 , 3.238685699999997e-07 , -8.05994724e-05 , 3.43179705e-06 , 3.26487097e-06 , -2.69243203e-06 , -3.0163006e-06 , -6.29972888e-05 , 1.76021836e-05
-5.541114999999993e-08 , 1.7592004000000015e-07 , -7.411445699999999e-06 , 2.92224538e-06 , 2.97765653e-06 , -3.00243043e-06 , -3.17835047e-06 , 4.02997362e-05 , 4.77111819e-05
-6.155254899999998e-07 , 1.1396659999999964e-07 , 1.7370575929999998e-05 , 2.80588197e-06 , 3.42140746e-06 , -3.16193743e-06 , -3.27590403e-06 , -2.54768447e-06 , -1.99182604e-05
-4.5644933e-07 , 1.8724735999999994e-07 , -2.3160766999999986e-06 , 2.78071607e-06 , 3.2371654e-06 , -3.08102808e-06 , -3.26827544e-06 , 3.28882905e-05 , 3.52043672e-05
-5.333323000000003e-08 , -9.986526000000028e-08 , -0.00012599457742 , 3.56455293e-06 , 3.61788616e-06 , -2.96428745e-06 , -2.86442219e-06 , -7.64305342e-06 , 0.000118351524
-2.276474700000002e-07 , 3.0283209999999816e-08 , 7.805178789999999e-05 , 3.08663178e-06 , 3.31427925e-06 , -2.92013406e-06 , -2.95041727e-06 , 9.31062871e-05 , 1.50544992e-05
7.838368500000001e-07 , 2.7208658999999975e-07 , 1.4822891500000003e-05 , 3.44449544e-06 , 2.66065859e-06 , -2.81633892e-06 , -3.08842551e-06 , -3.54359749e-05 , -5.02588664e-05
-1.2144277000000016e-07 , 2.785593299999998e-07 , 3.52043672e-05 , 3.2976559e-06 , 3.41909867e-06 , -3.21002071e-06 , -3.48858004e-06 , 7.31880266e-05 , 3.79836594e-05
-1.9209197999999995e-07 , -6.588332999999996e-08 , 5.095368979999999e-06 , 2.8603696e-06 , 3.05246158e-06 , -3.55076466e-06 , -3.48488133e-06 , 1.27384224e-05 , 7.64305342e-06
-1.655407999999997e-07 , 5.212873899999998e-07 , 0.0001234468932 , 3.16259123e-06 , 3.32813203e-06 , -2.88476511e-06 , -3.4060525e-06 , -3.26566828e-05 , -0.000156103576
3.7033116999999986e-07 , 1.1257958000000003e-07 , 0.00012066760090000001 , 2.85644464e-06 , 2.48611347e-06 , -3.21903632e-06 , -3.3316159e-06 , 3.01089983e-05 , -9.05586026e-05
