Test started at 2026-07-29 09:45:40.589254,,,,,,,,,,,,
,,,,,,,,,,,,
Running at a PLC of 1,,,,,,,,,,,,
DMM2 at voltage range of 0.1V from here -,,,,,,,,,,,,
diff1, diff2, diff3, r11, r12, r21, r22, r31, r32,,,,
2.37E-07,-1.03E-07,2.66E-06,-9.56E-08,-3.33E-07,-1.25E-05,-1.24E-05,1.10E-05,8.29E-06,,,,
1.42E-07,-2.96E-07,-3.31E-05,-1.34E-07,-2.76E-07,-1.28E-05,-1.25E-05,2.66E-06,3.58E-05,,,,
-3.42E-08,-2.72E-07,1.12E-05,-1.94E-07,-1.60E-07,-1.25E-05,-1.23E-05,8.31E-06,-2.90E-06,,,,
1.33E-07,-2.43E-07,-1.31E-05,-4.44E-08,-1.77E-07,-1.26E-05,-1.23E-05,4.63E-08,1.32E-05,,,,
-8.41E-08,-1.55E-07,-6.79E-06,-1.40E-07,-5.58E-08,-1.26E-05,-1.24E-05,1.93E-05,2.61E-05,,,,
9.28E-08,8.62E-08,-7.48E-06,-1.01E-07,-1.94E-07,-1.24E-05,-1.25E-05,-1.58E-05,-8.31E-06,,,,
-3.44E-09,1.76E-07,2.46E-05,-2.96E-08,-2.61E-08,-1.25E-05,-1.27E-05,1.39E-05,-1.07E-05,,,,
1.15E-07,3.33E-08,8.71E-06,6.12E-09,-1.09E-07,-1.24E-05,-1.25E-05,-3.27E-06,-1.20E-05,,,,
,,,,,,,,,,,,
Running at a PLC of 100,,,,,,,,,,,,
DMM2 at voltage range of 0.1V from here -,,,,,,,,,,,,
diff1, diff2, diff3, r11, r12, r21, r22, r31, r32,,,,
-4.47E-08,9.51E-09,4.92E-06,-1.12E-07,-6.71E-08,-1.25E-05,-1.25E-05,1.13E-05,6.33E-06,Average,0.0000%,0.0000%,0.0000%
-1.38E-07,8.63E-08,1.19E-05,-3.11E-08,1.07E-07,-1.27E-05,-1.27E-05,4.43E-06,-7.44E-06,Max,0.0000%,0.0001%,0.0012%
-1.35E-07,6.77E-08,2.82E-06,6.70E-08,2.02E-07,-1.28E-05,-1.28E-05,1.76E-06,-1.06E-06,Min,0.0000%,0.0000%,-0.0013%
-4.28E-08,9.54E-08,-2.98E-06,1.77E-07,2.20E-07,-1.28E-05,-1.29E-05,3.59E-06,6.56E-06,Spread,0.0000%,0.0001%,0.0025%
-7.93E-08,-5.12E-08,1.72E-06,2.58E-07,3.37E-07,-1.28E-05,-1.28E-05,5.25E-06,3.53E-06,,,,
-1.88E-08,-9.95E-08,-4.04E-06,3.05E-07,3.24E-07,-1.27E-05,-1.26E-05,5.59E-06,9.63E-06,,,,
-5.59E-08,-1.22E-07,3.69E-06,3.18E-07,3.74E-07,-1.26E-05,-1.24E-05,9.55E-06,5.87E-06,,,,
-6.36E-09,-3.57E-08,-5.33E-06,4.65E-07,4.71E-07,-1.23E-05,-1.23E-05,1.03E-05,1.56E-05,,,,
9.20E-08,-4.15E-08,1.23E-06,4.13E-07,3.21E-07,-1.22E-05,-1.22E-05,1.39E-05,1.27E-05,,,,
7.09E-08,5.69E-08,3.24E-06,3.48E-07,2.78E-07,-1.23E-05,-1.23E-05,5.38E-06,2.14E-06,,,,
-4.28E-08,-1.87E-08,-7.48E-06,2.89E-07,3.32E-07,-1.23E-05,-1.23E-05,4.20E-06,1.17E-05,,,,
-1.81E-08,1.10E-08,-9.63E-07,3.35E-07,3.53E-07,-1.23E-05,-1.23E-05,1.08E-05,1.17E-05,,,,
-8.31E-08,4.68E-08,-9.93E-06,2.91E-07,3.74E-07,-1.22E-05,-1.23E-05,6.72E-06,1.67E-05,,,,
